country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,137,9.2,8,5,3,5,2,53,1,1,1,20,5,8888,8888,8888,8888,8888,4,1/1/1968,3,1,1,3,3,6,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,138,9.2,4,0,4,3,2,38,3,1,1,20,3,8888,8888,8888,8888,8888,4,1/1/1980,0,3,1,3,3,3,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,139,9.2,4,2,3,3,1,51,6,1,2,10,3,2,5,1,1,20,1,1/1/1984,2,0,1,3,3,2,2,2,1,1,1,1,1,1,2,2,1,2,1
1,87,1,1/1/2001,140,9.2,5,2,3,5,2,64,0,1,1,20,3,8888,8888,8888,8888,8888,4,1/1/1953,0,2,1,3,2,5,2,2,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,141,9.2,5,2,3,2,1,31,10,1,3,710,2,2,9,1,3,710,4,1/1/1989,3,0,1,2,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,142,9.2,4,1,3,3,1,59,2,1,3,830,9999,2,2,1,1,20,4,1/1/1969,1,0,1,3,2,2,2,3,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,143,9.2,5,1,4,3,1,66,3,1,1,52,4,2,1,1,1,20,4,1/1/1953,2,1,1,3,3,4,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,144,9.2,11,7,5,3,1,70,2,1,1,52,5,2,2,1,1,20,4,1/1/1954,7,2,1,3,3,8,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,145,9.2,9,4,5,5,1,73,6,1,3,721,2,2,6,1,1,20,4,1/1/1969,2,1,1,3,3,7,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,146,9.2,7,1,6,3,1,35,9,1,3,830,4,2,5,1,1,20,3,1/1/1986,3,2,1,3,3,4,2,3,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,147,9.2,9,5,4,3,1,38,4,1,3,141,3,2,3,1,3,711,4,1/1/1984,1,1,1,3,2,5,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,148,9.2,3,1,2,3,2,47,0,1,1,20,9999,8888,8888,8888,8888,8888,4,1/1/1968,0,1,1,3,2,8,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,149,9.2,9,6,4,3,1,51,3,1,3,729,3,2,4,1,1,20,4,1/1/1968,5,2,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,150,9.2,4,0,4,3,1,56,3,1,1,61,4,2,2,1,1,20,4,1/1/1967,0,2,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,151,9.2,3,2,1,5,1,62,0,1,3,546,2,2,2,1,1,20,4,1/1/1961,0,1,1,3,3,4,2,3,1,1,1,1,1,1,2,1,1,2,1
